#mjd	band	flux	dflux	mag	dmag
57983.00306	i	195284.46	812.6	17.48	0.005
57983.00374	z	142533.91	940.7	17.59	0.007
57983.97635	Y	61486.3	460.4	17.315	0.008
57983.97703	z	142170.8	573.58	17.593	0.004
57983.97771	i	147490.92	507.1	17.785	0.004
57983.9784	r	71022.29	329	18.041	0.005
57983.97907	g	50318.37	329.77	18.664	0.007
57983.97976	u	1932.61	41.82	19.939	0.023
57984.97465	Y	40372.5	576.79	17.772	0.015
57984.97569	z	82683.98	878.98	18.181	0.011
57984.97639	i	84986.48	781.72	18.383	0.01
57984.97708	r	28424.92	379.54	19.035	0.014
57984.97777	g	13869.86	375.05	20.209	0.029
57984.98002	u	227.81	29.09	22.261	0.13
57985.98258	Y	31150.41	497.02	18.054	0.017
57985.98361	z	58270.2	831.93	18.561	0.015
57985.9841	u	108.94	33.24	23.062	0.289
57985.98427	i	57865.07	692.84	18.725	0.013
57985.98496	r	23995.08	514.02	19.29	0.023
57985.98564	g	7275.76	428.94	20.928	0.062
57986.97524	Y	23635.15	343.73	18.353	0.016
57986.97767	z	46426.33	366.24	18.808	0.009
57986.98008	i	39231.43	266.87	19.223	0.007
57986.98369	r	9265.4	250.58	20.252	0.029
57986.99095	g	2986.71	263.24	21.731	0.092
57987.97454	Y	15192.53	2342.57	18.833	0.156
57987.97695	z	33121.52	2733.68	19.175	0.086
57987.97936	i	28953.82	4492.92	19.553	0.157
57987.98298	r	5624.24	1265.36	20.794	0.22
57987.99024	g	2259.33	993.79	22.034	0.396
57988.97428	Y	12300.3	3552.56	19.062	0.275
57988.98538	r	4881.96	1705.98	20.948	0.325
57988.99624	g	2160.75	1226.12	22.082	0.488
57989.97335	Y	8282.1	263.33	19.439	0.034
57989.97939	z	17124.23	484.5	19.887	0.03
57989.98181	i	11370.17	346.26	20.542	0.033
57989.98664	r	3959.56	335.25	21.226	0.088
57989.99748	g	835.18	290.5	23.276	0.324
57990.97316	Y	4737.81	243.6	20.055	0.054
57990.98282	z	11091.75	400.41	20.399	0.039
57990.98765	i	10100.67	369.36	20.724	0.039
57990.99729	r	1967.25	313.98	21.952	0.161
57991.97422	Y	2537.02	210.77	20.776	0.087
57991.99444	z	5183.81	250.42	21.188	0.051
57991.99967	i	5411.47	194.41	21.37	0.038
57992.9747	Y	1113.54	210.6	21.67	0.188
57992.98677	z	2320.11	246.24	22.061	0.11
57993.00002	i	2133.87	172.76	22.384	0.085
