# %ECSV 0.9
# ---
# datatype:
# - {name: band, datatype: string}
# - {name: wavelength, unit: Angstrom, datatype: float64}
# schema: astropy-2.0
band wavelength
W2 1941.22132174
M2 2246.00356226
W1 2604.56916481
F336W 3368.34066118
U 3463.14480935
u 3565.05466331
B 4371.22288257
g 4700.32922202
F475W 4768.17707412
V 5441.19901054
F606W 5941.43846711
r 6174.48453774
w 6233.80236209
F625W 6273.90770429
R 6413.72808341
i 7533.63014363
F775W 7725.09164327
F814W 7814.21159034
I 7821.63160551
z 8781.68805804
F850W 9082.32591793
y 9509.79600694
Y 9841.97072746
J1 10547.728455
F110W 11515.0652022
J 12537.5926028
F160W 15433.0755077
H 16309.1096603
K 21557.0615385
Ks 21557.0615385
