# %ECSV 0.9
# ---
# datatype:
# - {name: band, datatype: string}
# - {name: magnitude, unit: mag(AB), datatype: float64}
# - {name: e_magnitude, unit: mag(AB), datatype: float64}
# - {name: time, unit: d, datatype: float64}
# schema: astropy-2.0
band magnitude e_magnitude time
i 17.48 0.02 0.45287635416
H 18.26 0.15 0.461676354164
r 17.46 0.03 0.464476354166
Ks 18.62 0.05 0.470476354167
J 17.83 0.15 0.471476354163
V 17.35 0.02 0.471476354163
r 17.33 0.02 0.471476354163
z 17.67 0.03 0.471476354163
i 17.4801307871 0.0252984934401 0.47453585417
z 17.5902045028 0.0291221350022 0.475217754167
g 17.41 0.02 0.477176354165
J 17.88 0.03 0.480476354162
g 17.41 0.04 0.482076354165
w 17.49 0.04 0.482476354162
g 17.39 0.02 0.485576354164
Y 17.46 0.01 0.490476354164
r 17.56 0.04 0.499476354162
Ks 18.64 0.06 0.500476354166
Ks 18.41 0.15 0.501476354162
J 17.82 0.03 0.51047635416
g 17.32 0.07 0.521476354166
i 16.984 0.05 0.521476354166
r 17.14 0.08 0.521476354166
z 16.854 0.1 0.521476354166
Ks 18.42 0.04 0.530476354164
M2 21.12 "" 0.627195354165
W1 19.46 "" 0.634395354165
U 18.2024703 0.0893445 0.638675428236
U 18.19 "" 0.638695354166
W2 21.13 "" 0.643095354164
z 17.4 0.01 0.700476354163
i 17.24 0.06 0.70272635416
y 17.38 0.1 0.70272635416
z 17.26 0.06 0.70272635416
w 17.31 0.04 0.853476354161
i 17.42 0.05 0.858258764165
g 17.28 0.12 0.872476354161
r 17.2 0.02 0.876476354162
r 17.32 0.07 0.890735614164
g 17.46 0.08 0.892124504164
U 18.9034076 0.1656082 0.980920798618
i 17.14 0.13 1.02134662416
W1 20.21 "" 1.04069535416
U 18.980041 0.1623712 1.04295783563
U 19.0 "" 1.04309535417
M2 22.52 "" 1.06519535416
i 17.48 0.07 1.06585475416
i 17.58 0.09 1.09666437416
H 17.64 0.04 1.17047635416
J 17.51 0.03 1.17047635416
Ks 17.91 0.05 1.17047635416
B 18.47 0.11 1.18999535417
I 17.58 0.1 1.18999535417
R 17.65 0.05 1.18999535417
V 17.81 0.04 1.18999535417
R 17.0 0.2 1.19796475417
w 17.95 0.04 1.20447635416
B 18.1 0.1 1.20753655416
r 17.75 0.02 1.21247635417
g 18.05 0.12 1.21647635417
r 17.89 0.03 1.22980635416
V 18.22 0.08 1.43547635416
g 18.431 0.057 1.43947635416
w 18.23 0.04 1.43947635416
V 18.16 0.05 1.44017635416
H 17.64 0.08 1.44022635416
J 17.58 0.07 1.44022635416
K 17.85 0.15 1.44022635416
g 18.49 0.04 1.44022635416
i 17.85 0.05 1.44022635416
r 17.99 0.01 1.44022635416
z 17.72 0.03 1.44022635416
r 17.69 0.02 1.44047635416
V 18.13 0.08 1.44157635416
i 17.88 0.1 1.44347635416
g 18.507 0.039 1.44517635417
g 18.481 0.037 1.44627635417
g 18.615 0.043 1.44737635416
r 17.98 0.08 1.44747635417
Y 17.3152541007 0.0256595401046 1.44782705416
z 17.62 0.06 1.44827635416
z 17.592973982 0.0219715284923 1.44850285416
r 17.925 0.022 1.44857635416
i 17.7848867885 0.021516551457 1.44919125417
r 17.966 0.024 1.44967635416
r 18.0406133217 0.0239778951345 1.44987625417
z 17.61 0.06 1.44987635416
z 17.61 0.06 1.45047635416
g 18.6643835894 0.0278623418351 1.45055075416
r 17.937 0.024 1.45067635416
u 19.939139444 0.0548237969632 1.45123175417
i 17.77 0.03 1.45127635416
I 17.664 0.064 1.45147635417
g 18.61 0.14 1.45147635417
r 17.675 0.134 1.45147635417
z 17.611 0.098 1.45147635417
i 17.743 0.029 1.45187635416
r 17.91 0.03 1.45207635417
Ks 17.61 0.04 1.45247635416
J 17.47 0.01 1.45277635416
g 18.61 0.03 1.45287635416
i 17.803 0.025 1.45297635417
i 17.809 0.026 1.45407635417
B 19.04 0.06 1.45437635417
g 18.582 0.031 1.45547635416
B 19.04 0.07 1.45577635416
g 18.547 0.03 1.45657635416
g 18.607 0.038 1.45767635416
r 17.946 0.02 1.45887635416
g 18.66 0.03 1.45897635417
r 17.983 0.024 1.45997635416
B 19.09 0.11 1.45999535416
I 17.77 0.09 1.45999535416
R 17.94 0.05 1.45999535416
V 18.28 0.04 1.45999535416
J 17.45 0.01 1.46047635416
Ks 17.77 0.02 1.46047635416
r 17.987 0.026 1.46097635417
H 17.52 0.01 1.46167635416
i 17.776 0.021 1.46227635416
r 18.0 0.06 1.46247635417
i 17.793 0.024 1.46327635417
i 17.795 0.025 1.46437635416
g 18.653 0.034 1.46567635416
V 18.22 0.04 1.46627635416
g 18.604 0.038 1.46677635417
g 18.632 0.037 1.46777635416
r 18.025 0.026 1.46897635416
r 18.017 0.023 1.47007635416
Y 17.23 0.01 1.47047635417
r 18.041 0.022 1.47117635416
r 17.951 0.02 1.47147635416
z 17.654 0.07 1.47147635416
H 17.63 0.1 1.47169626158
i 17.743 0.024 1.47237635416
i 17.856 0.028 1.47347635416
J1 17.32 0.01 1.47367635417
i 17.847 0.025 1.47457635417
g 18.693 0.036 1.47577635416
g 18.666 0.03 1.47687635417
g 18.623 0.036 1.47797635417
r 18.008 0.02 1.47917635417
r 18.008 0.023 1.48027635417
r 18.069 0.027 1.48137635416
r 18.29 0.06 1.48147635417
V 18.14 0.04 1.48197635416
i 17.825 0.033 1.48247635416
V 18.16 0.06 1.48327635416
i 17.772 0.025 1.48357635416
V 18.18 0.04 1.48437635416
i 17.866 0.032 1.48467635416
g 18.683 0.035 1.48597635416
g 18.667 0.038 1.48707635416
g 18.568 0.03 1.48807635417
r 18.029 0.024 1.48927635416
r 18.053 0.03 1.49037635417
r 18.041 0.022 1.49147635416
i 17.831 0.029 1.49267635417
i 17.898 0.031 1.49377635416
i 17.88 0.033 1.49477635416
U 20.79 "" 1.50209535416
B 19.07 0.04 1.50567635417
i 17.8 0.02 1.51527635416
V 18.25 0.06 1.51757635416
V 18.18 0.1 1.51857635417
r 17.98 0.02 1.51867635416
U 20.11 0.23 1.51957635416
U 20.25 0.29 1.51958635417
U 20.21 0.28 1.52347635417
g 18.49 0.12 1.52627635416
U 20.1 0.28 1.52737635416
z 17.74 0.01 1.70047635416
i 17.87 0.06 1.70272635416
y 17.58 0.11 1.70272635416
z 17.78 0.07 1.70272635416
g 18.8 0.07 1.78047635416
i 18.19 0.06 1.78047635416
r 18.26 0.04 1.78047635416
w 18.69 0.05 1.82847635417
B 20.1 0.12 1.82999535416
V 18.79 0.05 1.82999535416
i 18.07 0.13 1.83247635416
r 18.34 0.11 1.83647635416
I 17.98 0.09 1.83999535417
R 18.34 0.05 1.83999535417
g 19.28 0.17 1.84047635416
i 17.96 0.07 1.85083978417
i 18.18 0.08 1.86380274416
r 18.46 0.17 1.92772635417
H 17.52 0.04 2.17047635416
J 17.69 0.04 2.17047635416
Ks 17.61 0.04 2.17047635416
B 20.45 0.09 2.18999535417
I 18.26 0.12 2.18999535417
R 18.59 0.05 2.18999535417
V 19.25 0.05 2.18999535417
r 18.92 0.1 2.20947635416
r 18.9 0.11 2.21247635417
i 18.33 0.12 2.21647635417
i 18.26 0.15 2.21947635416
R 18.0 0.3 2.22089305416
z 18.25 0.3 2.22247635416
g 19.93 0.21 2.22947635416
w 19.11 0.06 2.22947635416
g 19.8 0.2 2.23247635416
w 19.11 0.06 2.23247635416
r 18.8 0.07 2.23258635416
I 18.354 0.105 2.43147635416
g 20.314 0.282 2.43147635416
r 19.178 0.1 2.43147635416
Ks 17.55 0.06 2.43347635416
J 17.55 0.01 2.43397635416
H 17.71 0.09 2.43923098379
r 19.1 0.11 2.43947635416
H 17.64 0.08 2.44039635416
J 17.73 0.09 2.44039635416
K 17.66 0.1 2.44039635416
g 20.19 0.11 2.44039635416
i 18.58 0.04 2.44039635416
r 19.13 0.17 2.44039635416
